id,title,priority,sprint,owner,status,acceptance
FR-001,Upload single/multiple images,P0,S1,Utkarsh,done,"Files accepted, validated, stored"
FR-008,Validate file type/magic bytes,P0,S1,Utkarsh,done,"Bad types rejected 415"
FR-011,Duplicate screen detection,P1,S1,Utkarsh,done,"pHash near-dup skipped"
FR-024,PII detection,P0,S1,Chesta,done,"Emails/cards/tokens detected"
FR-025,PII redaction before persist/model,P0,S1,Chesta,done,"redact_pii masks before use"
FR-030,Detect UI components,P0,S1,Divya,partial,"Element graph produced (mock; GPU path wired)"
FR-040,OCR text + boxes,P0,S1,Divya,partial,"Text+assoc produced (mock; PaddleOCR adapter ready)"
FR-050,Infer action sequence,P0,S2,Pushp,done,"Transitions across screens"
FR-053,Infer business intent,P0,S2,Pushp/Divya,done,"Process named; LLM refine when GPU on"
FR-060,Generate structured SOP,P0,S2,Pushp,done,"7-section SOP, schema-valid"
FR-061,Step includes screenshot ref,P0,S2,Pushp,done,"Each step has artifact+bbox"
FR-070,Per-step + overall confidence,P0,S3,Divya,done,"Scores computed"
FR-071,Flag low-confidence steps,P0,S3,Divya,done,"Amber flags + gate"
FR-075,Hallucination detection,P1,S3,Divya,done,"Ungrounded refs flagged"
FR-080,SOP editor,P0,S3,Ayush,done,"Edit action/description via API+UI"
FR-083,Per-step approve/reject,P0,S3,Utkarsh,done,"Reviewer approves; audited"
FR-086,Review->publish workflow,P0,S3,Utkarsh,done,"Publish gate enforced"
FR-090,Versioned SOP repo,P0,S3,Pushp,done,"Immutable versions on publish"
FR-091,Search across SOPs,P1,S4,Divya,done,"Keyword search (hybrid TODO)"
FR-100,Export PDF/DOCX/MD/HTML,P0,S4,Ankur2,done,"All formats render"
FR-101,Export BPMN/XML/JSON,P1,S4,Ankur2,done,"Machine formats produced"
FR-102,Export test cases + RPA script,P2,S4,Ankur2,done,"Skeletons generated"
FR-104,Jira/ServiceNow linking,P1,S4,Ankur2,partial,"Connector dry-run mode"
FR-105,Slack/Teams notify,P1,S4,Ankur2,partial,"Connector dry-run mode"
FR-106,SSO login,P0,S1,Utkarsh,partial,"Header-based principal (JWT TODO)"
FR-107,Outbound webhooks,P1,S4,Ankur2,done,"HMAC-signed dispatch"
FR-110,Capture corrections,P0,S5,Divya,partial,"Review log captured"
FR-120,Dashboard KPIs,P0,S1,Ayush,done,"KPI cards in UI"
FR-131,RBAC roles,P0,S1,Utkarsh,done,"5 roles enforced"
FR-133,Immutable audit log,P0,S1,Chesta,done,"Hash-chained audit"
FR-141,Stream progress,P0,S2,Utkarsh,done,"SSE stream + resume"
NFR-050,Structured logs + trace id,P0,S1,Tarun,done,"X-Request-Id propagated"
NFR-052,Prometheus metrics,P1,S3,Tarun,done,"/metrics endpoint"
NFR-045,Prompt-injection defense,P0,S5,Chesta,done,"Untrusted-text sanitization"
